Country,Imports,Exports,Balance
European Union,605760.393292,370189.230351,-235571.16294100008
"World, Seasonally Adjusted",3267460.5987350005,2065131.061971,-1202329.5367640005
Advanced Technology Products,763239.0613030001,464290.844933,-298948.2163700001
South and Central America,158813.069142,206144.200255,47331.13111300001
North America,918546.3184600001,683401.2989909999,-235145.01946900017
Europe,770791.0400449999,503629.070492,-267161.9695529999
Africa,39514.999021999996,32125.813165,-7389.185856999997
Pacific Rim,1001672.3491539997,491850.736295,-509821.6128589997
"World, Not Seasonally Adjusted",3267460.5987370005,2065131.0619710002,-1202329.5367660003
Asia,1356911.5505920001,600281.746389,-756629.8042030002
CAFTA-DR,36626.328632000004,47028.063471,10401.734838999997
Australia and Oceania,22775.707523,39742.694693,16966.987169999997
Sub Saharan Africa,29956.63301,18649.401116,-11307.231894
USMCA with Mexico (Consump),249731.798416,0,-249731.798416
USMCA with Canada (Consump),156942.98669100003,98484.085921,-58458.90077000002
Greenland,32.585481,48.420782,15.835301000000001
Canada,412695.719877,349359.939946,-63335.77993100003
St Pierre and Miquelon,3.435723,0.051169000000000006,-3.384554
Mexico,505850.598583,334041.359045,-171809.23953800002
Guatemala,5019.892412,9714.801951,4694.909538999999
Belize,81.128498,590.4483550000001,509.3198570000001
El Salvador,2311.212791,4556.3534580000005,2245.1406670000006
Honduras,5532.561721,7057.473677,1524.911956
Nicaragua,4622.325539,2940.9851610000005,-1681.3403779999999
Costa Rica,11634.905331000002,9676.788152,-1958.1171790000026
Panama,555.820472,10702.134058,10146.313586
Bermuda,23.328267999999998,540.382525,517.054257
Bahamas,1792.373019,5639.7424009999995,3847.3693819999994
Cuba,4.869872000000001,586.4998250000001,581.6299530000001
Jamaica,361.372579,2644.127532,2282.754953
Turks and Caicos Islands,10.983628999999999,713.57661,702.592981
Cayman Islands,49.39955,1286.490024,1237.0904739999999
Haiti,616.7707849999999,1214.4239989999999,597.6532139999999
Dominican Republic,7505.430837999999,13081.661071999999,5576.230234
Anguilla,1.190598,72.48832900000001,71.29773100000001
British Virgin Islands,60.246807,312.90955399999996,252.66274699999997
St Kitts and Nevis,19.629242,160.188109,140.558867
Antigua and Barbuda,23.75155,573.765998,550.014448
Montserrat,5.631794,12.071250999999998,6.439456999999998
Dominica,2.3061949999999998,58.79899,56.492795
St Lucia,6.955919999999999,1043.5999,1036.6439799999998
St Vincent and the Grenadines,8.26388,143.21508900000003,134.95120900000003
Grenada,14.074817999999999,165.335817,151.260999
Barbados,48.564639,772.603153,724.0385140000001
Trinidad and Tobago,3325.877971,2939.684738,-386.19323299999996
Sint Maarten,101.535218,753.934338,652.39912
Curacao,31.935945,823.501266,791.565321
Aruba,10.704668,725.5394950000001,714.8348270000001
Guadeloupe,3.427661,470.637794,467.210133
Martinique,2.8077579999999998,199.161662,196.353904
Colombia,17690.348963,19037.613407,1347.2644440000004
Venezuela,5987.862776999999,4232.021935,-1755.8408419999996
Guyana,5375.48866,1314.9305299999999,-4060.5581300000003
Suriname,90.91341,383.54293199999995,292.62952199999995
French Guiana,1.821129,28.999680999999995,27.178551999999996
Ecuador,8524.306263,7531.6537530000005,-992.6525099999999
Peru,9363.192761000002,11223.803301000002,1860.6105399999997
Bolivia,504.146695,401.036421,-103.110274
Chile,16469.479956,18167.793397,1698.313441000002
Brazil,42316.323621,49666.976322999995,7350.652701999992
Paraguay,356.152957,3158.4144260000003,2802.261469
Uruguay,1228.8341520000001,1649.0001129999998,420.1659609999997
Argentina,7092.161168999999,9170.997286,2078.8361170000007
Falkland Islands(Islas Malvin,22.756660999999998,4.092467,-18.664194
Iceland,1072.626837,985.844921,-86.78191600000002
Sweden,17995.672667999996,8187.319415,-9808.353252999996
"Svalbard, Jan Mayen Island",0.041854999999999996,0.404543,0.362688
Norway,6583.334169999999,4592.039618000001,-1991.2945519999985
Finland,8029.51671,2564.091906,-5465.424804
Faroe Islands,249.45253199999996,1.372159,-248.08037299999995
Denmark,10040.422224,5807.765771,-4232.656453
United Kingdom,68084.46833199999,79941.342753,11856.874421000015
Ireland,103286.253424,16538.031298,-86748.222126
Netherlands,34132.810238000005,89648.78489900002,55515.974661000015
Belgium,27849.850475,34177.940419,6328.089943999999
Luxembourg,698.625976,1136.895363,438.26938700000005
Andorra,3.369249,4.911141000000001,1.5418920000000007
Monaco,47.589664,162.798791,115.209127
France,59903.267951,43520.382080999996,-16382.885870000006
Germany,160436.54792799999,75612.90297200001,-84823.64495599997
Austria,17572.012829,4474.205091,-13097.807738
Czech Republic,8081.908338999999,4279.7656210000005,-3802.1427179999982
Slovakia,8187.3545970000005,552.7389830000001,-7634.615614
Hungary,12703.931455,3260.9239370000005,-9443.007517999999
Liechtenstein,243.72052,66.04088999999999,-177.67963
Switzerland,63425.318602,24961.986918,-38463.331684000004
Estonia,1065.40398,373.874186,-691.529794
Latvia,630.7248050000001,545.858791,-84.86601400000006
Lithuania,2011.5641919999998,1929.0896390000003,-82.47455299999956
Poland,13688.36707,11984.988111,-1703.3789589999997
Russia,3007.500456,526.066141,-2481.4343150000004
Belarus,20.048973,10.599133,-9.44984
Ukraine,1186.498293,1683.510839,497.01254599999993
Armenia,121.58311600000002,160.78363000000002,39.200514
Azerbaijan,157.77647199999998,255.07449000000003,97.29801800000004
Georgia,165.414171,1736.461692,1571.047521
Kazakhstan,2330.74942,1077.097171,-1253.6522490000002
Kyrgyzstan,16.66837,133.144912,116.47654200000001
Moldova,136.49516699999998,53.629683,-82.86548399999998
Tajikistan,4.633938,56.83741,52.203472
Turkmenistan,14.590584999999999,82.234419,67.643834
Uzbekistan,42.437585000000006,380.79548400000004,338.35789900000003
Spain,21278.741241999996,23910.286257000003,2631.545015000007
Portugal,6588.956258,3048.4292389999996,-3540.5270190000006
Gibraltar,0.4311789999999999,650.5965190000001,650.16534
Malta,220.44639400000003,360.82186600000006,140.37547200000003
San Marino,25.233029000000002,80.023469,54.790440000000004
Vatican City,0.170599,0.9833900000000001,0.812791
Italy,76366.488191,32402.003335,-43964.484855999995
Croatia,1000.8708369999999,993.902407,-6.968429999999898
Slovenia,6293.03794,332.200789,-5960.837151
Bosnia and Herzegovina,179.08958400000003,52.988456000000006,-126.10112800000002
Macedonia,173.710793,60.635165,-113.075628
Serbia,814.350544,209.85911,-604.491434
Kosovo,34.01594600000001,49.388369000000004,15.372422999999998
Montenegro,15.382306000000002,27.681345,12.299038999999999
Albania,128.280409,141.727893,13.447484000000003
Greece,2243.610292,2613.888774,370.27848200000017
Romania,3905.012813,1259.2815999999998,-2645.731213
Bulgaria,1490.134155,489.4349229999999,-1000.699232
Turkey,16745.664056999998,15292.979687000001,-1452.6843699999972
Cyprus,58.860309,183.42267799999996,124.56236899999996
Syria,10.651468,2.020826,-8.630642
Lebanon,257.571987,541.421719,283.8497320000001
Iraq,7422.2753809999995,1660.554212,-5761.7211689999995
Iran,6.218490999999999,90.84743,84.628939
Israel,22217.484849000004,14792.034959999997,-7425.449889000007
Gaza Strip admin. by Israel,0.20487,0.559747,0.354877
West Bank admin. by Israel,5.9988909999999995,3.6522869999999994,-2.346604
Jordan,3364.877293,2030.7849499999998,-1334.0923430000003
Kuwait,1643.60575,2411.831329,768.2255790000002
Saudi Arabia,12733.725159000001,13177.010088000001,443.28492899999947
Qatar,1834.1857269999998,3804.248139,1970.062412
United Arab Emirates,7474.432624,26969.308977999997,19494.876353999996
Republic of Yemen,8.915257999999998,134.099622,125.18436400000002
Oman,1319.9915290000001,1954.2700750000001,634.278546
Bahrain,1204.340922,1646.230202,441.88927999999987
Afghanistan,22.588359,11.446788,-11.141571
India,87416.448578,41752.66796800001,-45663.78060999999
Pakistan,5123.6561599999995,2135.147106,-2988.5090539999997
Nepal,120.46158899999999,120.89020300000001,0.4286140000000245
Bangladesh,8365.766327,2213.964142,-6151.802185
Sri Lanka,3015.585462,368.21457499999997,-2647.370887
Burma,656.460945,77.15222200000001,-579.308723
Thailand,63328.18022200001,17719.249485,-45608.93073700001
Vietnam,136561.155809,13098.155121,-123463.00068799999
Laos,803.320155,40.385293,-762.934862
Cambodia,12661.806815,321.629583,-12340.177232
Malaysia,52534.847955,27704.750827,-24830.097127999998
Singapore,43203.72290300001,46032.645972000006,2828.9230689999968
Indonesia,28084.737884000002,10202.09572,-17882.642164000004
East Timor,5.912675999999999,19.021945,13.109269
Brunei,238.849306,127.213271,-111.636035
Philippines,14177.628116,9297.313128999998,-4880.314987000002
Macau,108.792661,275.141629,166.348968
Bhutan,3.281048,3.4277340000000005,0.14668600000000032
Maldives,4.765289,92.61202399999999,87.846735
China,438947.386145,143545.739507,-295401.64663800003
Mongolia,26.977439999999998,396.615463,369.638023
"Korea, North",0.057465,1.528597,1.4711319999999999
"Korea, South",131549.18712000002,65541.79041799999,-66007.39670200003
Hong Kong,5972.9004540000005,27886.366137999998,21913.465683999995
Taiwan,116264.02688699999,42336.861419,-73927.16546799999
Japan,148208.566623,79740.84554599998,-68467.72107700001
Australia,16685.50984,34593.348537000005,17907.838697000007
Norfolk Island,0.19116500000000003,0.080944,-0.11022100000000003
Cocos (Keeling) Islands,1.1006440000000002,2.58047,1.4798259999999999
Christmas Island,1.747242,2.1147899999999997,0.36754799999999976
Heard and McDonald Islands,0.013589,0.058879,0.04529
Papua New Guinea,79.150698,67.20022,-11.950478000000004
New Zealand,5617.042562,4499.423962,-1117.6185999999998
Cook Islands,0.8921189999999999,6.861174999999999,5.969055999999999
Tokelau,0.17758500000000002,0.29576399999999997,0.11817899999999995
Niue,4.322244,0.648447,-3.6737970000000004
Samoa,5.717674,54.397476,48.679801999999995
Solomon Islands,1.3458990000000002,13.147231999999999,11.801333
Vanuatu,13.667021,7.601059,-6.065962
Pitcairn Islands,0.009335,1.0880060000000003,1.0786710000000002
Kiribati,0.8081619999999999,4.220009000000001,3.411847000000001
Tuvalu,0.22444700000000004,0.570424,0.345977
New Caledonia,33.844904,29.394517999999994,-4.450386000000005
Wallis and Futuna,0.039214000000000006,0.049437999999999996,0.01022399999999999
French Polynesia,40.42327,145.19757,104.77430000000001
Marshall Islands,20.448963,127.42624799999999,106.977285
Micronesia,2.44009,50.48958199999999,48.049491999999994
Palau,2.234213,20.993953,18.75974
Nauru,2.238924,0.916696,-1.322228
Fiji,259.272473,94.67957100000001,-164.59290199999998
Tonga,2.845246,19.909723,17.064477
Morocco,1904.8844410000002,5268.646115,3363.7616739999994
Algeria,2461.6111419999997,1014.5041089999999,-1447.1070329999998
Tunisia,1123.2156120000002,503.588215,-619.6273970000002
Libya,1465.5625579999999,567.220437,-898.3421209999999
Egypt,2546.000141,6092.022475,3546.022334
Sudan,13.133891,56.610929000000006,43.47703800000001
South Sudan,0.805202,59.276702,58.4715
Equatorial Guinea,127.640788,95.37969099999998,-32.26109700000002
Mauritania,2.8548980000000004,139.755555,136.900657
Cameroon,248.80527999999998,193.06434399999998,-55.740936000000005
Senegal,235.12516800000003,350.866605,115.74143699999996
Mali,5.500278000000001,51.49678900000001,45.996511000000005
Guinea,6.179835,138.336186,132.156351
Sierra Leone,28.74785,119.85905900000002,91.11120900000002
Cote d'Ivoire,1014.6764109999999,596.568616,-418.1077949999999
Ghana,1171.728486,967.304543,-204.423943
Gambia,1.9698970000000002,80.563522,78.593625
Niger,8.306694,43.252221999999996,34.945527999999996
Togo,89.99636499999998,283.59244,193.59607500000004
Nigeria,5699.175958999999,4174.298267,-1524.8776919999991
Central African Republic,1.4220270000000002,35.070358999999996,33.648331999999996
Gabon,171.66685400000003,171.065105,-0.6017490000000407
Chad,80.81403799999998,59.939854999999994,-20.874182999999988
St Helena,10.636649,9.016194,-1.6204549999999998
Burkina Faso,4.520665999999999,54.359393,49.838727
Benin,48.62340400000001,216.446069,167.82266499999997
Angola,1869.2391659999998,682.3528689999999,-1186.886297
Congo (Brazzaville),40.200821000000005,237.13852699999998,196.937706
Guinea-Bissau,0.122848,3.3949120000000006,3.2720640000000007
Cabo Verde,4.4829989999999995,12.246976,7.763977000000001
Sao Tome and Principe,0.572291,1.0214750000000001,0.44918400000000014
Liberia,72.529569,220.40019500000002,147.87062600000002
Congo (Kinshasa),323.100139,253.285367,-69.814772
Burundi,3.7366839999999995,6.61399,2.877306000000001
Rwanda,30.238416,44.75779700000001,14.51938100000001
Somalia,2.4827320000000004,49.123706000000006,46.64097400000001
Eritrea,0.8529180000000001,37.475440999999996,36.622522999999994
Ethiopia,465.844335,1017.7065619999998,551.8622269999998
Djibouti,40.11125,144.982858,104.871608
Uganda,132.618139,106.29284999999999,-26.325289000000026
Kenya,737.305128,782.524079,45.21895100000006
Seychelles,7.150942000000001,16.534260000000003,9.383318000000003
British Indian Ocean Terr.,0.46249100000000004,5.464806000000001,5.002315000000001
Tanzania,204.714855,573.3800410000001,368.6651860000001
Mauritius,234.51991099999998,47.99103999999999,-186.52887099999998
Mozambique,216.070589,149.698447,-66.37214200000003
Madagascar,733.215493,53.407211,-679.8082820000001
Mayotte,1.88971,1.8176089999999998,-0.07210100000000019
Comoros,1.848391,4.7389280000000005,2.8905370000000006
Reunion,44.066855999999994,11.883522000000001,-32.183333999999995
French Southern and Antarctic,0.036412,2.248567,2.212155
South Africa,14655.786587999999,5818.998932,-8836.787655999999
Namibia,275.22509799999995,160.50649800000002,-114.71859999999992
Botswana,405.12367400000005,104.32745600000001,-300.79621800000007
Zambia,169.11202100000003,113.76294100000001,-55.349080000000015
Eswatini,22.588608999999998,46.113517,23.524908000000003
Zimbabwe,67.833118,43.782746,-24.050371999999996
Malawi,41.05461,26.940731000000003,-14.113878999999994
Lesotho,237.257685,2.7945130000000002,-234.46317200000001
